CT.PA.1,CT.PA.2,KD.PA.3,KD.PA.4,CT.SI.5,KD.SI.6,CT.SI.7
FBgn0000008,76,71,87,68,137,115,82
FBgn0000017,3498,3087,3029,3264,7014,4322,3926
FBgn0000018,240,306,288,307,613,528,485
FBgn0000032,611,672,694,757,1479,1361,1351
FBgn0000042,40048,49144,70574,72850,97565,95760,99372
FBgn0000043,15910,18194,31086,34085,34171,42389,29671
FBgn0000052,1613,1925,1827,1897,2921,2298,2626
FBgn0000053,1286,1567,1944,2076,2308,2361,1856
FBgn0000054,448,498,484,541,962,811,767
FBgn0000057,443,537,547,589,933,750,706
FBgn0000063,218,270,335,350,593,547,417
FBgn0000064,4962,5516,6925,7872,10711,10288,6936
FBgn0000071,74,88,502,586,143,727,76
FBgn0000077,126,179,164,194,295,246,245
FBgn0000079,87,119,47,41,185,63,129
FBgn0000083,3556,4471,4464,4922,7660,6041,5307
FBgn0000084,1311,1641,1507,1501,2479,1808,2097
FBgn0000097,2201,2034,2286,2382,4650,3842,2566
FBgn0000100,17522,22734,20062,20699,37241,25868,24899
FBgn0000108,45,39,43,47,79,62,23
FBgn0000109,69,112,68,85,186,215,200
FBgn0000115,335,426,446,531,834,702,584
FBgn0000116,301,283,932,872,513,832,386
FBgn0000117,6909,8016,9326,9999,14934,12159,9624
FBgn0000119,442,521,475,502,876,763,696
FBgn0000139,415,587,410,469,1196,666,818
FBgn0000140,571,579,785,700,1442,1265,1104
FBgn0000146,834,1034,1419,1470,2099,2629,1549
FBgn0000147,213,301,384,380,492,610,404
FBgn0000150,5395,7152,8412,8593,10225,10331,7822
FBgn0000152,135,145,144,183,230,239,181
FBgn0000163,753,671,697,696,1251,948,738
FBgn0000173,850,1220,1200,1298,2152,2243,1646
FBgn0000181,8478,10835,9670,10530,22669,14616,12625
FBgn0000183,1694,1950,1995,2153,3960,3529,2957
FBgn0000210,1555,1338,1671,1544,3221,2485,1956
FBgn0000212,2150,2256,2669,3031,4784,3721,3107
FBgn0000221,142,191,151,153,288,207,203
FBgn0000228,549,587,601,643,1280,816,737
FBgn0000229,566,633,578,584,1601,1546,1142
FBgn0000239,1636,1869,1931,1926,3686,3346,2858
FBgn0000242,110,107,145,135,247,223,158
FBgn0000244,418,357,314,362,803,547,572
FBgn0000246,93,83,101,115,363,379,195
FBgn0000247,2063,2015,2051,2133,3923,2651,2672
FBgn0000250,1495,1760,1696,1944,3944,2548,2149
FBgn0000253,4968,5940,6585,7270,17769,16332,11113
FBgn0000256,1758,1761,1366,1518,3905,2044,1876
FBgn0000257,524,609,638,667,966,784,656
FBgn0000259,1162,1398,1335,1529,4490,3479,2180
FBgn0000261,1471,1504,1340,1643,2769,1912,1774
FBgn0000273,1949,1795,1851,1996,5618,4265,2400
FBgn0000276,16,30,37,42,127,138,140
FBgn0000278,30,37,22,28,64,44,63
FBgn0000279,35,50,63,59,131,156,98
FBgn0000283,2279,2444,2605,2649,6341,4214,3639
FBgn0000286,397,387,292,347,888,451,509
FBgn0000289,2456,2639,2667,2668,5316,3635,3829
FBgn0000299,30394,30424,56159,51767,60538,68817,36322
FBgn0000307,1047,965,947,1066,2570,2141,1432
FBgn0000308,9589,11962,12621,14308,33612,27632,17828
FBgn0000313,37,42,49,52,99,68,59
FBgn0000317,932,975,1073,1023,2112,1883,1706
FBgn0000318,470,730,779,951,1288,1127,897
FBgn0000319,9304,10286,11519,11437,17662,16778,16255
FBgn0000326,174,178,220,224,407,371,247
FBgn0000330,159,171,164,186,269,239,239
FBgn0000339,323,429,374,443,988,1037,850
FBgn0000346,47,46,86,112,117,134,83
FBgn0000351,21,28,29,34,33,54,25
FBgn0000352,593,580,652,677,1192,1064,798
FBgn0000370,6852,8564,7969,8636,18958,16099,14265
FBgn0000376,862,975,1108,1066,1655,1333,970
FBgn0000377,606,666,703,831,1199,1002,810
FBgn0000382,596,578,539,596,1287,951,613
FBgn0000384,285,349,391,372,847,920,987
FBgn0000394,435,519,432,531,912,680,728
FBgn0000395,445,369,311,335,949,574,354
FBgn0000404,1617,1757,1919,2112,3910,3718,3002
FBgn0000405,1253,1296,2267,2210,2941,3637,2419
FBgn0000406,261,401,64,96,608,110,212
FBgn0000409,2515,3505,3228,3541,7036,4726,4681
FBgn0000412,1769,1943,2357,2398,4266,3851,2237
FBgn0000413,2200,2023,2157,2345,3298,2844,2062
FBgn0000414,1707,1735,1667,1809,3532,2652,2791
FBgn0000416,28112,32801,25473,27638,64276,41426,46054
FBgn0000426,356,491,496,669,1125,938,628
FBgn0000447,314,422,537,623,814,976,478
FBgn0000454,1866,2156,2180,2459,3610,2792,2656
FBgn0000455,413,480,404,428,653,543,500
FBgn0000464,1195,1088,1191,1213,2517,2057,1526
FBgn0000479,657,759,696,749,1673,1103,939
FBgn0000482,811,893,926,1035,1642,1135,1130
FBgn0000489,79,82,94,100,136,135,99
FBgn0000490,112,105,211,202,225,322,85
FBgn0000499,718,703,767,882,1352,959,808
FBgn0000520,417,498,527,593,695,544,515
FBgn0000524,541,585,858,807,1096,1079,742
FBgn0000527,112,128,104,76,196,115,151
FBgn0000535,234,187,141,134,478,281,205
FBgn0000536,494,592,647,689,1451,1406,1158
FBgn0000541,3245,2869,3217,3030,9622,7938,5530
FBgn0000542,123,126,127,146,225,173,87
FBgn0000543,451,559,606,758,924,692,595
FBgn0000546,727,628,694,672,1507,1112,802
FBgn0000547,244,204,300,369,431,494,193
FBgn0000556,130453,165299,144953,162846,293366,194210,206540
FBgn0000557,25,33,27,43,56,55,31
FBgn0000559,69919,86819,86110,95764,147825,123016,111560
FBgn0000562,1069,1022,1119,1126,2332,1606,1468
FBgn0000565,307,409,633,759,750,822,391
FBgn0000566,423,598,729,640,1092,941,871
FBgn0000567,263,243,119,103,456,187,280
FBgn0000568,3444,2900,2776,2847,6326,4080,2181
FBgn0000575,936,832,1038,1159,2107,2556,1118
FBgn0000578,4424,4086,3732,3929,9387,5762,5132
