iso2,year,m_04,m_514,m_014,m_1524,m_2534,m_3544,m_4554,m_5564,m_65,f_04,f_514,f_014,f_1524,f_2534,f_3544,f_4554,f_5564,f_65
AD,1950,318,559,877,565,422,407,319,215,201,304,543,847,568,457,435,352,265,267
AD,1951,337,600,936,609,476,420,353,235,220,322,584,905,609,511,451,385,290,293
AD,1952,360,646,1006,654,533,440,389,257,241,343,629,972,653,569,474,421,318,321
AD,1953,386,698,1084,700,594,466,427,282,263,368,679,1047,699,630,505,460,348,352
AD,1954,416,756,1172,746,656,497,468,310,287,396,735,1130,745,694,542,503,380,386
AD,1955,448,820,1268,791,718,532,512,342,313,426,796,1222,791,757,582,551,416,422
AD,1956,482,892,1374,835,780,570,560,378,341,459,862,1321,838,820,628,603,455,462
AD,1957,518,969,1487,880,842,613,611,417,371,494,934,1428,885,883,678,658,497,505
AD,1958,557,1051,1607,926,903,663,662,460,403,531,1010,1541,933,945,733,715,542,551
AD,1959,598,1135,1733,977,964,719,712,507,437,571,1088,1659,986,1007,797,771,591,600
AD,1960,642,1220,1862,1033,1026,786,756,556,473,613,1167,1780,1044,1071,869,824,643,653
AD,1961,690,1304,1994,1098,1089,864,795,608,510,659,1245,1904,1109,1137,953,870,698,708
AD,1962,741,1385,2126,1173,1153,953,826,662,550,706,1321,2028,1182,1206,1047,910,755,766
AD,1963,794,1466,2260,1255,1217,1050,854,719,592,755,1398,2153,1261,1274,1147,947,816,827
AD,1964,847,1549,2396,1342,1277,1150,883,778,638,805,1478,2282,1345,1339,1249,985,879,894
AD,1965,898,1639,2538,1431,1334,1248,920,839,689,853,1563,2416,1429,1398,1346,1030,946,966
AD,1966,947,1736,2683,1522,1383,1340,965,903,746,898,1656,2554,1514,1449,1434,1083,1017,1046
AD,1967,992,1841,2832,1615,1427,1427,1020,969,808,941,1756,2697,1601,1492,1514,1144,1092,1133
AD,1968,1034,1951,2985,1709,1470,1509,1085,1034,876,982,1862,2844,1688,1532,1588,1216,1167,1227
AD,1969,1078,2065,3142,1806,1518,1588,1163,1094,948,1024,1971,2994,1778,1576,1659,1298,1237,1326
AD,1970,1122,2179,3302,1905,1577,1665,1252,1144,1023,1066,2081,3147,1869,1631,1730,1392,1299,1428
AD,1971,1171,2295,3465,2005,1651,1742,1357,1182,1099,1112,2192,3304,1962,1700,1805,1501,1349,1535
AD,1972,1221,2411,3632,2107,1739,1817,1476,1208,1178,1159,2304,3463,2057,1784,1882,1623,1387,1645
AD,1973,1271,2525,3797,2210,1839,1888,1603,1226,1257,1206,2413,3620,2154,1878,1957,1753,1419,1758
AD,1974,1317,2633,3950,2313,1944,1952,1729,1245,1338,1248,2517,3765,2251,1977,2025,1879,1450,1873
AD,1975,1353,2734,4088,2418,2048,2007,1845,1272,1418,1282,2612,3894,2351,2075,2083,1994,1489,1989
AD,1976,1380,2824,4204,2523,2150,2052,1945,1309,1498,1305,2696,4001,2450,2169,2128,2090,1536,2106
AD,1977,1397,2905,4302,2628,2252,2089,2030,1356,1577,1321,2769,4090,2550,2262,2163,2169,1592,2224
AD,1978,1410,2984,4394,2740,2357,2128,2107,1418,1658,1332,2840,4172,2658,2359,2198,2240,1662,2344
AD,1979,1426,3072,4498,2869,2473,2182,2189,1501,1741,1346,2920,4266,2781,2467,2248,2316,1754,2471
AD,1980,1448,3176,4624,3018,2606,2261,2284,1607,1828,1365,3016,4381,2923,2592,2322,2408,1871,2606
AD,1981,1478,3300,4778,3195,2759,2370,2397,1743,1919,1393,3131,4524,3089,2738,2427,2521,2020,2750
AD,1982,1513,3439,4952,3393,2927,2507,2523,1909,2013,1425,3260,4686,3276,2900,2559,2650,2200,2901
AD,1983,1546,3574,5120,3598,3101,2661,2649,2090,2107,1456,3387,4843,3467,3068,2706,2781,2396,3054
AD,1984,1569,3683,5252,3785,3266,2813,2758,2265,2199,1478,3489,4967,3641,3228,2852,2893,2583,3204
AD,1985,1579,3751,5329,3937,3413,2952,2837,2417,2292,1487,3553,5040,3784,3371,2983,2972,2741,3351
AD,1986,1571,3769,5341,4044,3535,3069,2880,2533,2383,1481,3572,5052,3884,3489,3094,3012,2856,3490
AD,1987,1553,3748,5301,4111,3637,3170,2893,2618,2475,1464,3553,5017,3948,3587,3188,3020,2932,3627
AD,1988,1533,3710,5243,4161,3733,3267,2899,2685,2577,1446,3518,4964,3997,3682,3279,3019,2989,3773
AD,1989,1523,3685,5209,4224,3851,3379,2927,2758,2702,1438,3496,4934,4058,3797,3385,3041,3054,3949
AD,1990,1533,3691,5224,4321,4005,3519,2997,2854,2860,1447,3503,4950,4152,3948,3522,3107,3147,4172
AD,1991,1565,3736,5301,4462,4208,3697,3120,2983,3061,1478,3546,5024,4289,4149,3698,3227,3278,4454
AD,1992,1616,3808,5424,4635,4452,3904,3288,3135,3302,1525,3614,5139,4456,4389,3904,3395,3439,4789
